farmID,groveID,groveName,zoneID,area,plantedArea,geometry,updatedAt,commodity,siteID,irrigation,originalPlantYear,rootStock,spacing,spacing_row_m,spacing_tree_m,spacing_row_ft,spacing_tree_ft,variety,subCommodity,commodityCombinations,regionName
-MWyzlG2GrOST-gWc6Sk,-MX6JKAOY9fOAIZM15Zy,16,-MWz-6cQpcSrRHWmnLR_,50.71247089953156,,"POLYGON((-120.189678380475 36.8033342521772, -120.188945613457 36.8022427527793, -120.188584970838 36.801441640685, -120.188058436152 36.8008368479211, -120.187707122283 36.7998421364438, -120.187627393385 36.7994501387339, -120.187088270175 36.7989192110494, -120.183943180935 36.7999847973378, -120.183823543284 36.8004978172165, -120.18352959424 36.8014665283289, -120.182918852031 36.8022542759341, -120.182100375239 36.8028748370013, -120.181024297806 36.8033229567497, -120.189678380475 36.8033342521772))",2022-08-01 20:03:29+00:00,Pistachio,16,{'Double Drip Lines': True},2003,UCB-1,"{'ft': {'row': 18, 'tree': 16}, 'm': {'row': 5.4, 'tree': 4.8}}",5.4,4.8,18.0,16.0,Kerman,Pistachio,77e20e612d63c88b58a7aa9038354a2f16b94f41fab46f61d78c96f03615d8d9,California
-MYnm19zJFnjVpnhaLG6,-MdCtR8OiB226ayD8QZ9,23N_10_A,-MdCrtQYOG7l9ncTWkNV,312.4776827456003,126.45534351958636,"POLYGON((-120.211593342013 36.3564085379769, -120.211588737141 36.3528760359769, -120.198437694804 36.3529976474088, -120.196509779116 36.3545240363147, -120.196617619828 36.3565515062085, -120.211593342013 36.3564085379769))",2022-08-01 20:03:29+00:00,Pistachio,23N_10_A,,2001-04,Pioneer Gold,"{'ft': {'row': 19, 'tree': 17}, 'm': {'row': 5.7, 'tree': 5.1}}",5.7,5.1,19.0,17.0,Kerman,Pistachio,df7f78bc9d17f7f643f8faa9c63bf7d74003a5ee5f9a89aa2eea9711ea3061a7,California
-MYnm19zJFnjVpnhaLG6,-MgAJGbGL0BikD7K0CQe,23N_10_B,-MdCrtQYOG7l9ncTWkNV,246.13395118038798,99.60696416738651,"POLYGON((-120.198502107394 36.3530109598305, -120.211590242327 36.3528944177395, -120.21160295531 36.3492021509363, -120.202972398882 36.3492698755183, -120.198494090633 36.3528774154902, -120.198502107394 36.3530109598305))",2022-08-01 20:03:29+00:00,Pistachio,23N_10_B,,2001-04,Pioneer Gold,"{'ft': {'row': 19, 'tree': 17}, 'm': {'row': 5.7, 'tree': 5.1}}",5.7,5.1,19.0,17.0,Kerman,Pistachio,df7f78bc9d17f7f643f8faa9c63bf7d74003a5ee5f9a89aa2eea9711ea3061a7,California
-MYnm19zJFnjVpnhaLG6,-MgAJGbHsq_aYB6sGcVX,23N_10_C,-MdCrtQYOG7l9ncTWkNV,183.98844328049722,74.45754715741128,"POLYGON((-120.211675285266 36.3425485927346, -120.211153921546 36.3425633744582, -120.203423209432 36.3488125878731, -120.203028085023 36.3492752971541, -120.211621579638 36.3492003540295, -120.211675285266 36.3425485927346))",2022-08-01 20:03:29+00:00,Pistachio,23N_10_C,,2001-04,Pioneer Gold,"{'ft': {'row': 19, 'tree': 17}, 'm': {'row': 5.7, 'tree': 5.1}}",5.7,5.1,19.0,17.0,Kerman,Pistachio,df7f78bc9d17f7f643f8faa9c63bf7d74003a5ee5f9a89aa2eea9711ea3061a7,California
-MWyzlG2GrOST-gWc6Sk,-MX6JKARZCbTHkdvRmLs,22,-MWz-6cQpcSrRHWmnLR_,74.1820044555001,,"POLYGON((-120.208793601157 36.7924798836161, -120.208320364872 36.7924702818278, -120.205680630085 36.792496332181, -120.20524287635 36.7925666518131, -120.205289419761 36.8010246391384, -120.208828987409 36.8010177863806, -120.208793601157 36.7924798836161))",2022-08-01 20:03:29+00:00,Almonds,22,{'Duel System': True},2006,,"{'ft': {'row': 21, 'tree': 15}, 'm': {'row': 6.4, 'tree': 4.5}}",6.4,4.5,21.0,15.0,Wood Colony,Almonds,923c1c308c0262c26cc92479209e7da942925a4cb36b685860cfdc9efe38ef94,California
-MWyzlG2GrOST-gWc6Sk,-MX6JKATg0RZ6EAHRKmq,25,-MWz-6cQpcSrRHWmnLR_,56.400966464825935,,"POLYGON((-120.216069515119 36.8009192591191, -120.212419205072 36.8010137861797, -120.212377325384 36.807237760703, -120.216083876624 36.807203148772, -120.216069515119 36.8009192591191))",2022-08-01 20:03:29+00:00,Almonds,25,{'Double Drip Lines': True},2013,,"{'ft': {'row': 21, 'tree': 15}, 'm': {'row': 6.4, 'tree': 4.5}}",6.4,4.5,21.0,15.0,Wood Colony,Almonds,923c1c308c0262c26cc92479209e7da942925a4cb36b685860cfdc9efe38ef94,California
-MWyzlG2GrOST-gWc6Sk,-MX6JKAVja5VJyi6FBsu,28,-MWz-6cQpcSrRHWmnLR_,163.59593388933393,,"POLYGON((-120.205267298871 36.8070855792161, -120.205191131774 36.803032561801, -120.189496416661 36.8032230084478, -120.19016054191 36.8075247738125, -120.204742847712 36.8074018903163, -120.205267298871 36.8070855792161))",2022-08-01 20:03:29+00:00,Almonds,28,{'Duel System': True},2007,,"{'ft': {'row': 21, 'tree': 15}, 'm': {'row': 6.4, 'tree': 4.5}}",6.4,4.5,21.0,15.0,Wood Colony,Almonds,923c1c308c0262c26cc92479209e7da942925a4cb36b685860cfdc9efe38ef94,California
-MWyzlG2GrOST-gWc6Sk,-MX6JKAVja5VJyi6FBsv,29,-MWz-6cQpcSrRHWmnLR_,121.0303264823416,,"POLYGON((-120.180639997461 36.8032129726545, -120.176079341964 36.8065628274148, -120.176230145602 36.8073931493984, -120.190160877119 36.8072872000607, -120.189490355122 36.803148620712, -120.180639997461 36.8032129726545))",2022-08-01 20:03:29+00:00,Almonds,29,{'Double Drip Lines': True},2011,,"{'ft': {'row': 21, 'tree': 15}, 'm': {'row': 6.4, 'tree': 4.5}}",6.4,4.5,21.0,15.0,Wood Colony,Almonds,923c1c308c0262c26cc92479209e7da942925a4cb36b685860cfdc9efe38ef94,California
-MWyzlG2GrOST-gWc6Sk,-MX6JKAQyaOVPgHaTRuo,21S,-MWz-6cQpcSrRHWmnLR_,85.6100470542357,,"POLYGON((-120.205200733211 36.7929554513382, -120.198243117451 36.795261926138, -120.1994585776 36.7994984422583, -120.20523103005 36.7994598918545, -120.205200733211 36.7929554513382))",2022-08-01 20:03:29+00:00,Almonds,21S,{'Micro-sprinklers': True},1998,,"{'ft': {'row': 21, 'tree': 18}, 'm': {'row': 6.4, 'tree': 5.4}}",6.4,5.4,21.0,18.0,Butte,Almonds,62c22c8124c59eea3bb044ec05d8dda8019a59e860ec0e12f11d7d688320cf07,California
-MWyzlG2GrOST-gWc6Sk,-MXX9-XsquE3lxEY2Bja,23_24E,-MWz-6cQpcSrRHWmnLR_,82.45650012771799,,"POLYGON((-120.212477512311 36.7915006611133, -120.208751648076 36.7922405686119, -120.208862373272 36.8010438494749, -120.212479428065 36.8010037135476, -120.212477512311 36.7915006611133))",2022-08-01 20:03:29+00:00,Almonds,23_24E,{'Double Drip Lines': True},2020,,"{'ft': {'row': 22, 'tree': 14}, 'm': {'row': 6.7, 'tree': 4.2}}",6.7,4.2,22.0,14.0,Shasta,Almonds,3a61a07b19435c3457605770b1e2474e42ddd1897d48f7b934d5bdd4dd4712df,California
-MWyzlG2GrOST-gWc6Sk,-MXX9BRbrviPIxRsVl9i,23_24W,-MWz-6cQpcSrRHWmnLR_,81.53779144115607,,"POLYGON((-120.2159505662 36.7913581454718, -120.212461392319 36.7917034739645, -120.212489226705 36.8010030413523, -120.216024561667 36.8009886096753, -120.2159505662 36.7913581454718))",2022-08-01 20:03:29+00:00,Almonds,23_24W,{'Double Drip Lines': True},2020,,"{'ft': {'row': 22, 'tree': 14}, 'm': {'row': 6.7, 'tree': 4.2}}",6.7,4.2,22.0,14.0,Independence,Almonds,73ea0db4c12b2e2df5bf066236a7662b7bc0ff9116da150981876d7329f25e2f,California
-MYFD6kjMcUjLu_2iEOx,-MYFGZceZqlumO3nyTI9,18,-MYFEZV9wZ6WvZqlTjQM,161.1524937480912,158.41517738930213,"POLYGON((-119.93525466689 36.5178275972507, -119.926328019691 36.5178219449559, -119.926296830268 36.5251642627092, -119.935250323126 36.5251355401777, -119.93525466689 36.5178275972507))",2022-08-01 20:03:29+00:00,Almonds,,{'Drip + Micro-sprinklers': True},2007,,"{'ft': {'row': 22, 'tree': 15}, 'm': {'row': 6.7, 'tree': 4.5}}",6.7,4.5,22.0,15.0,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
-MYFD6kjMcUjLu_2iEOx,-MYFGlpBTWthWF8IpL7V,17,-MYFEZV9wZ6WvZqlTjQM,165.33927762934994,161.77638384904768,"POLYGON((-119.926385041445 36.5177777268979, -119.917267133146 36.5177853542038, -119.917236547535 36.5251771559535, -119.926318247521 36.525153078499, -119.926385041445 36.5177777268979))",2022-08-01 20:03:29+00:00,Almonds,,{'Drip + Micro-sprinklers': True},2007,,"{'ft': {'row': 22, 'tree': 15}, 'm': {'row': 6.7, 'tree': 4.5}}",6.7,4.5,22.0,15.0,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
-MYFD6kjMcUjLu_2iEOx,-MYFIGK7H4xiSI2pZi-l,15W,-MYFEZV9wZ6WvZqlTjQM,162.65806463069302,161.8614628682864,"POLYGON((-119.926353063007 36.5106302278257, -119.926384355222 36.5033121344584, -119.917341351286 36.5033270734343, -119.917343252972 36.5106519420079, -119.926353063007 36.5106302278257))",2022-08-01 20:03:29+00:00,Almonds,,{'Drip + Micro-sprinklers': True},2001,,"{'ft': {'row': 22, 'tree': 16}, 'm': {'row': 6.7, 'tree': 4.8}}",6.7,4.8,22.0,16.0,Avalon,Almonds,4142e64e05815d7f8d78e8f49aacef6eae3bb59b90e21795323c23727a24b74c,California
-MYFJxWuzlXrRULEjvZn,-MYFLenIxSVnl3ejtb1q,17_2,-MYFKq1x6hCoHPfZDKwO,145.53660052107892,,"POLYGON((-120.148330861062 36.1812922563947, -120.13897583014 36.1813485791516, -120.139166943177 36.1893759173389, -120.148409178633 36.1858789373004, -120.148330861062 36.1812922563947))",2022-08-01 20:03:29+00:00,Almonds,,,2013,,"{'ft': {'row': 22, 'tree': 16}, 'm': {'row': 6.7, 'tree': 4.8}}",6.7,4.8,22.0,16.0,Wood Colony,Almonds,923c1c308c0262c26cc92479209e7da942925a4cb36b685860cfdc9efe38ef94,California
-MYFKP3v5yya2wgOeUT9,-MYFN8HtrDT6vrAulVrP,S8_3,-MYFMVV7FJkG3TpzkO1G,158.1403063550166,,"POLYGON((-120.164509369609 36.1085308783852, -120.155673466435 36.1085738617319, -120.155694598474 36.1157861988988, -120.164535563551 36.1157839597586, -120.164509369609 36.1085308783852))",2022-08-01 20:03:29+00:00,Almonds,,{'Double Drip Lines': True},2005,,"{'ft': {'row': 22, 'tree': 19}, 'm': {'row': 6.7, 'tree': 5.7}}",6.7,5.7,22.0,19.0,Monterey,Almonds,1e72e6e7a797a19a8f02d944576d6f0f2bfdf986ee987dae9fceef8c0aa8f77a,California
-MYFKP3v5yya2wgOeUT9,-MYFNTfUqiJr7neHx0kO,S8_1,-MYFMVV7FJkG3TpzkO1G,159.8876778089976,,"POLYGON((-120.15568013553 36.1230893661713, -120.155701327196 36.1175314072326, -120.154745507715 36.1175514422064, -120.154700572561 36.1157942801074, -120.14661272484 36.1157803830202, -120.146623410972 36.123108733136, -120.15568013553 36.1230893661713))",2022-08-01 20:03:29+00:00,Almonds,,{'Double Drip Lines': True},2005,,"{'ft': {'row': 22, 'tree': 19}, 'm': {'row': 6.7, 'tree': 5.7}}",6.7,5.7,22.0,19.0,Butte,Almonds,62c22c8124c59eea3bb044ec05d8dda8019a59e860ec0e12f11d7d688320cf07,California
-MYFKP3v5yya2wgOeUT9,-MYFOUf1Zf66nxxchI-l,S8_2,-MYFMVV7FJkG3TpzkO1G,161.23180475267614,,"POLYGON((-120.155604072985 36.1085824081133, -120.146564258953 36.1086027953427, -120.146623452462 36.1158247260505, -120.155647922617 36.1157922089488, -120.155604072985 36.1085824081133))",2022-08-01 20:03:29+00:00,Almonds,,{'Double Drip Lines': True},2005,,"{'ft': {'row': 22, 'tree': 19}, 'm': {'row': 6.7, 'tree': 5.7}}",6.7,5.7,22.0,19.0,Padre,Almonds,12a9d53973aef7053a5083be25cd18231072cff097c60e952171c99876ca1710,California
-M_QLdOfa8Uzz6zTc8KR,-M_tuAk0mtMo7kb-o3sP,NW_Block,-M_QM7gn_CL3ygcScVTt,60.63194310495175,49.55833387458204,"POLYGON((-120.579372413505 36.6985792119792, -120.579321553571 36.7059062036691, -120.582687100818 36.7059106813567, -120.582728141338 36.6985396202673, -120.579372413505 36.6985792119792))",2022-08-01 20:03:29+00:00,Almonds,,,2006,,"{'ft': {'row': 24, 'tree': 12}, 'm': {'row': 7.3, 'tree': 3.6}}",7.3,3.6,24.0,12.0,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
-Mawonu5lLUY0VE12Wiq,-Mb1Os1xDgySTcD0CBEx,Equitable,-Mb1Ny6ao6kx7Hh-fnR3,163.696755224,131.92103974138047,"POLYGON((-119.223189796697 35.7541760617208, -119.214094537894 35.7541716194407, -119.21415821463 35.761420745354, -119.223167616958 35.7614812296799, -119.223189796697 35.7541760617208))",2022-08-01 20:03:29+00:00,Almonds,,,,NA,"{'ft': {'row': 24, 'tree': 15}, 'm': {'row': 7.3, 'tree': 4.5}}",7.3,4.5,24.0,15.0,Nonpareil,Almonds,f0c0093f7e897c294c26209a417ce811679fec2a2510bcd073d9922a8747b1b4,California
-MYnm19zJFnjVpnhaLG6,-MYnn4MgbFL29Ggd0Vca,3_30,-MYnma83jiXIgNosDDXx,382.5258967191922,154.80287503970342,"POLYGON((-120.229350766424 36.2978685569662, -120.220725036343 36.2979728648307, -120.220906792808 36.3052916642095, -120.22951439755 36.3051634084631, -120.229350766424 36.2978685569662))",2022-08-01 20:03:29+00:00,Almonds,3_30,,2005,,"{'ft': {'row': 72.17848, 'tree': 52.49344}, 'm': {'row': 22, 'tree': 16}}",22.0,16.0,72.17848,52.49344,Monterey,Almonds,1e72e6e7a797a19a8f02d944576d6f0f2bfdf986ee987dae9fceef8c0aa8f77a,California
-MYnm19zJFnjVpnhaLG6,-MYnnk2rwXkb3nPIVBc-,10_20,-MYnma83jiXIgNosDDXx,401.034664991077,159.2015445060942,"POLYGON((-120.211597813733 36.2981148063358, -120.220721157313 36.2980065834712, -120.220578990834 36.2908294307759, -120.211429408892 36.2909493244406, -120.211597813733 36.2981148063358))",2022-08-01 20:03:29+00:00,Almonds,10_20,,2003,,"{'ft': {'row': 72.17848, 'tree': 52.49344}, 'm': {'row': 22, 'tree': 16}}",22.0,16.0,72.17848,52.49344,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
-MYnm19zJFnjVpnhaLG6,-McxqnGWNzyQBmutu0LO,28S_40,-MYnma83jiXIgNosDDXx,474.808064038924,156.73046606761667,"POLYGON((-120.238291744179 36.2500723865822, -120.23481394763 36.2427968339008, -120.236243417889 36.2421430554304, -120.234962124431 36.2399848447023, -120.228625387365 36.2400832660329, -120.228712550144 36.2514219794062, -120.237986674255 36.2512884269533, -120.238291744179 36.2500723865822))",2022-08-01 20:03:29+00:00,Almonds,28S_40,,2013,,"{'ft': {'row': 72.17848, 'tree': 52.49344}, 'm': {'row': 22, 'tree': 16}}",22.0,16.0,72.17848,52.49344,Monterey,Almonds,1e72e6e7a797a19a8f02d944576d6f0f2bfdf986ee987dae9fceef8c0aa8f77a,California
-MYnm19zJFnjVpnhaLG6,-Mcy1i8-duk-9mMruGht,19N_10,-MYnma83jiXIgNosDDXx,180.49696717548545,154.34539168689244,"POLYGON((-120.283935929305 36.3489008422593, -120.273967052904 36.3489815372758, -120.274031214118 36.3563322736654, -120.283909919781 36.356299998699, -120.283935929305 36.3489008422593))",2022-08-01 20:03:29+00:00,Almonds,19N_10,,2003,,"{'ft': {'row': 72.17848, 'tree': 52.49344}, 'm': {'row': 22, 'tree': 16}}",22.0,16.0,72.17848,52.49344,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
-MYnm19zJFnjVpnhaLG6,-MYnmsxcMYentZqOUKMr,3_10,-MYnma83jiXIgNosDDXx,155.65655456318493,146.0733556851789,"POLYGON((-120.22953438775 36.3052111585027, -120.22079092432 36.3053061081196, -120.221083409069 36.3125350067866, -120.229813069683 36.3124158832793, -120.22953438775 36.3052111585027))",2022-08-01 20:03:29+00:00,Almonds,3_10,,2006,,"{'ft': {'row': 72.17848, 'tree': 59.05512}, 'm': {'row': 22, 'tree': 18}}",22.0,18.0,72.17848,59.05512,Padre,Almonds,12a9d53973aef7053a5083be25cd18231072cff097c60e952171c99876ca1710,California
-MYnm19zJFnjVpnhaLG6,-McxxWu0v-UeWk9NKeTZ,10_S40,-MYnma83jiXIgNosDDXx,392.0885417233188,140.0005779286567,"POLYGON((-120.220247401814 36.2835820111416, -120.211256727589 36.2837044588735, -120.211400959626 36.2909360114811, -120.220300581433 36.2908175647172, -120.220247401814 36.2835820111416))",2022-08-01 20:03:29+00:00,Almonds,10_S40,,2006,,"{'ft': {'row': 72.17848, 'tree': 59.05512}, 'm': {'row': 22, 'tree': 18}}",22.0,18.0,72.17848,59.05512,Padre,Almonds,12a9d53973aef7053a5083be25cd18231072cff097c60e952171c99876ca1710,California
-MYnm19zJFnjVpnhaLG6,-Mcy1DAOysTWKLHCUrJY,23W_42,-MYnma83jiXIgNosDDXx,82.73763141876766,75.46569071606946,"POLYGON((-120.303204648877 36.3514501931285, -120.303761453325 36.3509866002299, -120.304899307174 36.3508802797758, -120.306345942671 36.3494794255176, -120.306777946209 36.3484240678017, -120.306588663224 36.3478085180532, -120.306968500705 36.3470696575617, -120.306699162535 36.3464177352339, -120.30648526352 36.3454522995287, -120.306640104066 36.3448636289443, -120.303518644032 36.3420709495313, -120.302233933526 36.3416877942736, -120.302369723747 36.3515502726007, -120.303204648877 36.3514501931285))",2022-08-01 20:03:29+00:00,Almonds,23W_42,,2004,,"{'ft': {'row': 72.17848, 'tree': 59.05512}, 'm': {'row': 22, 'tree': 18}}",22.0,18.0,72.17848,59.05512,Monterey,Almonds,1e72e6e7a797a19a8f02d944576d6f0f2bfdf986ee987dae9fceef8c0aa8f77a,California
-MYnm19zJFnjVpnhaLG6,-Mcy2SPlNhT4cX96gS0W,28N_30,-MYnma83jiXIgNosDDXx,120.16280426491906,83.85418215346388,"POLYGON((-120.247372303581 36.3271710627086, -120.243919818031 36.3271492983319, -120.241299027299 36.3270398971661, -120.240809545091 36.3275097775121, -120.245709929824 36.3388220330017, -120.247329664825 36.3388552043512, -120.247372303581 36.3271710627086))",2022-08-01 20:03:29+00:00,Almonds,28N_30,,2018,,"{'ft': {'row': 72.17848, 'tree': 59.05512}, 'm': {'row': 22, 'tree': 18}}",22.0,18.0,72.17848,59.05512,Monterey,Almonds,1e72e6e7a797a19a8f02d944576d6f0f2bfdf986ee987dae9fceef8c0aa8f77a,California
-MYnm19zJFnjVpnhaLG6,-Mcy3bihpJYEFuqU-Od-,29N_20,-MYnma83jiXIgNosDDXx,380.3451040397543,128.9939617555926,"POLYGON((-120.256499118471 36.3344521037405, -120.247490828653 36.3343887026203, -120.247490828724 36.3416726940607, -120.256429318166 36.3417099030109, -120.256499118471 36.3344521037405))",2022-08-01 20:03:29+00:00,Almonds,29N_20,,2017,,"{'ft': {'row': 72.17848, 'tree': 59.05512}, 'm': {'row': 22, 'tree': 18}}",22.0,18.0,72.17848,59.05512,Independence,Almonds,73ea0db4c12b2e2df5bf066236a7662b7bc0ff9116da150981876d7329f25e2f,California
-MYnm19zJFnjVpnhaLG6,-McxxeIn5YPcZkFGan6s,15S_10,-MYnma83jiXIgNosDDXx,393.8255853216642,159.37570082148304,"POLYGON((-120.229085955684 36.2760923362412, -120.220007023331 36.2762767242967, -120.220038721013 36.2835848684209, -120.228988332781 36.2835248723466, -120.229085955684 36.2760923362412))",2022-08-01 20:03:29+00:00,Almonds,15S_10,,1994,,"{'ft': {'row': 78.74016, 'tree': 59.05512}, 'm': {'row': 24, 'tree': 18}}",24.0,18.0,78.74016,59.05512,Fritz,Almonds,f22e29a3709bc10b4c5c39747376caff4e6b966793dc8b4d5c0140f4003e1ed3,California
